epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95149,0.7618,10.3319,0.00603,0,0,0,0,0.71608,19.627,0.00438,0,0,0.1
2,5.34528,1.28938,10.6076,0.00817,0,0,0,0,0.84467,16.3993,0.00627,9.99502e-05,9.99502e-05,0.0991
3,7.62491,1.01079,7.30872,0.00739,0,0,0,0,0.74349,13.5161,0.00586,0.000199601,0.000199601,0.0981996
4,9.82472,1.23071,6.87034,0.00978,0,0,0,0,0.89544,11.8476,0.00739,0.000298656,0.000298656,0.0972987
5,12.3768,1.21507,5.37721,0.00836,0,0,0,0,1.51835,11.076,0.01274,0.000396818,0.000396818,0.0963968
6,14.5605,1.19366,5.99568,0.01026,0,0,0,0,2.41042,11.2833,0.02185,0.000493795,0.000493795,0.0954938
7,16.8514,1.36268,3.91452,0.01091,0,0,0,0,2.86729,12.0363,0.02146,0.000589297,0.000589297,0.0945893
8,19.0792,1.40697,4.18834,0.01131,0,0,0,0,3.2719,10.9507,0.04163,0.000683041,0.000683041,0.093683
9,21.3316,1.23553,3.12207,0.00784,0,0,0,0,3.16089,9.88147,0.03842,0.000774749,0.000774749,0.0927747
10,23.5894,1.23815,3.80426,0.01247,0,0,0,0,2.72392,8.20731,0.02886,0.00086415,0.00086415,0.0918641
11,25.7925,1.23424,3.34599,0.01008,0,0,0,0,2.09669,6.72884,0.02509,0.00095098,0.00095098,0.090951
12,28.0255,1.28906,2.8334,0.01017,0,0,0,0,1.40724,5.92343,0.01054,0.00103498,0.00103498,0.090035
13,30.2548,1.26801,2.68792,0.01189,0,0,0,0,1.60333,5.79234,0.01266,0.00111592,0.00111592,0.0891159
14,32.4768,0.96113,2.72689,0.00872,0,0,0,0,1.42518,5.57575,0.01054,0.00119355,0.00119355,0.0881935
15,34.7249,1.27475,2.53527,0.01088,0,0,0,0,1.58506,5.49421,0.01234,0.00126765,0.00126765,0.0872676
16,36.9248,1.19505,2.75086,0.00953,0,0,0,0,1.60191,5.40125,0.01303,0.00133801,0.00133801,0.086338
17,39.1649,0.95538,2.08064,0.00492,0,0,0,0,1.68144,5.42151,0.01408,0.00140443,0.00140443,0.0854044
18,41.3781,1.01042,1.81931,0.00864,0,0,0,0,1.59435,5.41085,0.01294,0.00146673,0.00146673,0.0844667
19,43.656,1.08874,1.97361,0.01,0,0,0,0,1.01579,5.32041,0.00757,0.00152474,0.00152474,0.0835247
20,45.8724,1.20819,2.01987,0.01242,0,0,0,0,0.90861,5.25218,0.00675,0.00157829,0.00157829,0.0825783
21,48.114,1.14181,1.5869,0.00792,0,0,0,0,1.09861,5.23736,0.00794,0.00162725,0.00162725,0.0816273
22,50.3719,1.15956,1.7424,0.00796,0,0,0,0,1.25047,5.28184,0.00927,0.0016715,0.0016715,0.0806715
23,52.5632,1.25967,2.03236,0.00803,0,0,0,0,1.1356,5.33338,0.00797,0.00171093,0.00171093,0.0797109
24,54.872,1.2252,2.08453,0.00878,0,0,0,0,1.11413,5.2686,0.0077,0.00174544,0.00174544,0.0787454
25,57.0914,1.20082,2.11828,0.00995,0,0,0,0,1.19749,5.22348,0.00845,0.00177496,0.00177496,0.077775
26,59.7652,1.25103,1.70704,0.00819,0,0,0,0,1.39582,5.20803,0.01001,0.00179943,0.00179943,0.0767994
27,62.1991,1.42879,1.6277,0.01111,0,0,0,0,1.64241,5.24275,0.01232,0.00181882,0.00181882,0.0758188
28,64.5421,1.47684,2.0708,0.01754,0,0,0,0,1.70346,5.21311,0.01327,0.00183311,0.00183311,0.0748331
29,66.7632,0.98379,1.57473,0.01001,0,0,0,0,1.82342,5.13156,0.015,0.0018423,0.0018423,0.0738423
30,69.0713,1.52061,1.80127,0.01494,0,0,0,0,1.65739,5.2031,0.01345,0.0018464,0.0018464,0.0728464
31,71.5899,1.26215,1.37965,0.01426,0,0,0,0,1.54776,5.62314,0.01229,0.00184544,0.00184544,0.0718454
32,73.8959,1.17327,1.06748,0.00782,0,0,0,0,1.49621,5.67142,0.01307,0.0018395,0.0018395,0.0708395
33,76.1946,1.35731,1.73031,0.01114,0,0,0,0,2.01373,5.72792,0.01692,0.00182863,0.00182863,0.0698286
34,78.4496,1.44656,1.49344,0.01361,0,0,0,0,2.05014,5.96849,0.01978,0.00181293,0.00181293,0.0688129
35,80.6599,1.26742,1.62827,0.0076,0,0,0,0,2.68752,5.95599,0.0272,0.00179251,0.00179251,0.0677925
36,82.917,1.15523,1.63078,0.00925,0,0,0,0,2.68719,6.53236,0.02647,0.0017675,0.0017675,0.0667675
37,85.209,1.23731,1.58946,0.00844,0,0,0,0,2.6132,6.59693,0.02569,0.00173805,0.00173805,0.0657381
38,87.4863,0.96673,1.54017,0.00831,0,0,0,0,2.28221,6.64869,0.02118,0.00170433,0.00170433,0.0647043
39,89.7426,1.15589,1.50162,0.00619,0,0,0,0,2.15103,6.62025,0.01901,0.00166651,0.00166651,0.0636665
40,92.0623,1.17605,1.64727,0.01152,0,0,0,0,2.00464,6.51149,0.01581,0.0016248,0.0016248,0.0626248
41,94.3131,1.24916,1.72336,0.00912,0,0,0,0,1.77999,6.42641,0.01464,0.00157941,0.00157941,0.0615794
42,96.5457,1.41265,1.79139,0.01002,0,0,0,0,1.5177,6.49042,0.01133,0.00153058,0.00153058,0.0605306
43,98.7632,1.39465,1.40528,0.01013,0,0,0,0,1.6223,5.98592,0.01176,0.00147855,0.00147855,0.0594786
44,101.074,1.13286,1.34104,0.01075,0,0,0,0,1.54087,5.95644,0.01123,0.0014236,0.0014236,0.0584236
45,103.29,1.33285,1.42786,0.00886,0,0,0,0,1.47513,5.99988,0.01091,0.00136599,0.00136599,0.057366
46,105.663,1.13441,1.67144,0.0123,0,0,0,0,1.47875,6.09443,0.01125,0.00130602,0.00130602,0.056306
47,107.943,1.10755,1.58665,0.008,0,0,0,0,1.51188,6.07133,0.01146,0.001244,0.001244,0.055244
48,110.156,1.15309,1.22539,0.008,0,0,0,0,1.54182,5.98827,0.01156,0.00118024,0.00118024,0.0541802
49,112.348,0.94061,1.70521,0.01101,0,0,0,0,1.32901,6.05783,0.00947,0.00111507,0.00111507,0.0531151
50,114.628,1.13769,1.43122,0.00736,0,0,0,0,1.81401,5.38809,0.01398,0.00104883,0.00104883,0.0520488
51,116.776,1.1881,1.41206,0.01095,0,0,0,0,1.81401,5.38809,0.01398,0.000981863,0.000981863,0.0509819
52,118.993,1.25941,1.3147,0.00979,0,0,0,0,1.67606,5.13694,0.01255,0.000914534,0.000914534,0.0499145
53,121.14,1.2796,1.21145,0.01104,0,0,0,0,1.67606,5.13694,0.01255,0.000847205,0.000847205,0.0488472
54,123.331,1.35069,1.43317,0.01006,0,0,0,0,1.40645,5.16483,0.01013,0.000780248,0.000780248,0.0477802
55,125.507,1.1252,1.30798,0.01005,0,0,0,0,1.40645,5.16483,0.01013,0.00071404,0.00071404,0.046714
56,127.713,1.37634,1.11287,0.00756,0,0,0,0,1.21715,5.07661,0.00855,0.000648964,0.000648964,0.045649
57,129.929,1.24479,1.12472,0.00818,0,0,0,0,1.21715,5.07661,0.00855,0.000585405,0.000585405,0.0445854
58,132.178,1.17145,1.09345,0.0109,0,0,0,0,1.28897,4.64591,0.00922,0.000523752,0.000523752,0.0435238
59,134.311,1.15041,1.10973,0.00905,0,0,0,0,1.28897,4.64591,0.00922,0.000464394,0.000464394,0.0424644
60,136.582,1.08366,1.18097,0.00876,0,0,0,0,1.05561,4.54718,0.0071,0.000407721,0.000407721,0.0414077
61,138.723,0.8582,1.38415,0.00859,0,0,0,0,1.05561,4.54718,0.0071,0.000354122,0.000354122,0.0403541
62,140.977,0.82225,1.52638,0.01099,0,0,0,0,0.9378,4.38852,0.00623,0.000303986,0.000303986,0.039304
63,143.214,0.82609,1.4349,0.00731,0,0,0,0,0.9378,4.38852,0.00623,0.000257695,0.000257695,0.0382577
64,145.398,1.11965,1.15049,0.01204,0,0,0,0,0.87106,4.23058,0.00578,0.00021563,0.00021563,0.0372156
65,147.523,0.87503,1.06074,0.00921,0,0,0,0,0.87106,4.23058,0.00578,0.000178166,0.000178166,0.0361782
66,149.629,0.78906,1.11597,0.00658,0,0,0,0,0.84928,4.05469,0.00561,0.000145669,0.000145669,0.0351457
67,151.742,0.91944,1.26468,0.00992,0,0,0,0,0.84928,4.05469,0.00561,0.000118502,0.000118502,0.0341185
68,153.866,0.82303,1.14193,0.00661,0,0,0,0,0.79658,3.90485,0.00517,9.70151e-05,9.70151e-05,0.033097
69,155.998,1.1482,1.18714,0.01336,0,0,0,0,0.79658,3.90485,0.00517,8.15505e-05,8.15505e-05,0.0320816
70,158.181,0.86422,1.22288,0.00975,0,0,0,0,0.76324,3.76333,0.00487,7.24392e-05,7.24392e-05,0.0310724
