epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5892,0.98147,5.56624,0.01055,0,0,0,0,1.7708,5.94019,0.03188,0.00015,0.00015,0.08515
2,85.3288,0.96071,2.43585,0.01009,0,0,0,0,1.30558,5.52763,0.0245,0.000309845,0.000309845,0.0693098
3,126.423,0.86985,1.88654,0.00956,0,0,0,0,0.99048,5.39299,0.01584,0.000469063,0.000469063,0.0534691
4,168.808,0.83445,1.65582,0.00904,0,0,0,0,1.00157,4.84439,0.01373,0.000627178,0.000627178,0.0376272
5,213.495,0.94954,1.65734,0.00997,0,0,0,0,0.88764,4.0955,0.01235,0.000783716,0.000783716,0.0217837
6,259.116,0.84334,1.43529,0.00927,0.66667,0.18617,0.41126,0.36104,0.81973,3.23546,0.01252,0.00093821,0.00093821,0.00593821
7,306.002,0.90256,1.39941,0.00932,0.39097,0.61225,0.48366,0.39622,0.75796,2.2567,0.01062,0.000982162,0.000982162,0.000982162
8,354.554,0.83483,1.30148,0.00904,0.58683,0.49013,0.54473,0.41955,0.9828,1.60975,0.01544,0.000975773,0.000975773,0.000975773
9,408.233,0.86225,1.29246,0.00946,0.44251,0.49439,0.49619,0.37206,1.0177,1.8309,0.01462,0.000968436,0.000968436,0.000968436
10,459.701,0.82681,1.25471,0.00947,0.48202,0.53348,0.56793,0.46864,0.79346,1.44552,0.01053,0.000960166,0.000960166,0.000960166
11,512.711,0.78929,1.18289,0.00869,0.55429,0.58283,0.50767,0.38075,1.00721,1.39622,0.01574,0.00095098,0.00095098,0.00095098
12,565.799,0.76608,1.16,0.00804,0.6061,0.50085,0.58382,0.46849,0.92382,1.25982,0.01452,0.000940895,0.000940895,0.000940895
13,616.705,0.78126,1.12708,0.00878,0.45207,0.6491,0.55875,0.46883,0.76841,1.41353,0.01153,0.000929932,0.000929932,0.000929932
14,664.721,0.81281,1.13175,0.00812,0.5486,0.70411,0.61992,0.50565,0.81446,1.17372,0.01155,0.000918114,0.000918114,0.000918114
15,716.352,0.75992,1.00612,0.00871,0.52355,0.69018,0.5999,0.47767,0.84647,1.37829,0.01322,0.000905463,0.000905463,0.000905463
16,766.036,0.77442,1.03999,0.00832,0.58139,0.62608,0.62284,0.47904,0.93927,1.24212,0.01333,0.000892007,0.000892007,0.000892007
17,816.262,0.78644,1.04434,0.00892,0.66081,0.59795,0.62846,0.47161,1.04356,1.32219,0.01446,0.00087777,0.00087777,0.00087777
18,866.197,0.79469,0.979,0.00876,0.60898,0.60954,0.62136,0.47977,0.95194,1.18891,0.01459,0.000862783,0.000862783,0.000862783
19,924.303,0.77138,0.94693,0.00849,0.63732,0.59322,0.64958,0.52429,0.78749,1.18006,0.01145,0.000847076,0.000847076,0.000847076
20,979.715,0.79668,0.96232,0.00921,0.58166,0.7129,0.7096,0.56173,0.85982,1.03574,0.01399,0.00083068,0.00083068,0.00083068
21,1033.66,0.80884,0.9247,0.0093,0.63557,0.71411,0.67692,0.54536,0.88806,1.27592,0.01182,0.000813627,0.000813627,0.000813627
22,1088.2,0.78408,0.86763,0.00874,0.6122,0.65815,0.64424,0.50322,0.91633,1.33059,0.0141,0.000795954,0.000795954,0.000795954
23,1143.85,0.73084,0.84487,0.00788,0.665,0.69083,0.64059,0.54385,0.60017,1.25367,0.00836,0.000777694,0.000777694,0.000777694
24,1198.45,0.77229,0.84263,0.00861,0.6118,0.75911,0.71488,0.56329,0.83518,1.07444,0.01216,0.000758885,0.000758885,0.000758885
25,1255.35,0.70917,0.83746,0.0074,0.69091,0.67497,0.70421,0.58054,0.76206,1.10048,0.01138,0.000739565,0.000739565,0.000739565
26,1305.5,0.75991,0.77709,0.00852,0.62417,0.76237,0.68803,0.57011,0.7054,1.2554,0.01121,0.000719772,0.000719772,0.000719772
27,1356.28,0.7436,0.81906,0.00812,0.67417,0.74452,0.70246,0.57191,0.78311,1.0858,0.01152,0.000699547,0.000699547,0.000699547
28,1406.46,0.7764,0.78995,0.00866,0.72984,0.67629,0.69945,0.53999,0.91045,1.17283,0.01374,0.000678931,0.000678931,0.000678931
